Club,Expected Points
Liverpool,88.71
Arsenal,85.96
Man City,80.47
Chelsea,70.27
Newcastle,66.94
Tottenham,60.94
Aston Villa,60.9
Bournemouth,57.1
Fulham,56.76
Forest,56.0
Crystal Palace,54.58
Man United,54.56
Brighton,54.089999999999996
Brentford,51.33
West Ham,50.92
Everton,47.65
Wolves,44.43
Leicester,36.21
Ipswich,33.34
Southampton,28.84
